equipment_type,hours_used,kilometers_covered,fuel_consumed,operating_temperature_avg,load_factor,terrain_type,idle_time_hours,error_count,cumulative_hours,cumulative_km,days_since_last_maintenance,maintenance_needed
planter,13.254565543977371,316.2825801036523,93.55902211250817,77.83331011414364,35.998494949080175,rough,4.330880728874676,2,1291.6707635982184,5777.870823343462,39.00870081141143,0
tractor,32.52439222197264,22.685195983492616,13.228739505798206,80.99098641033557,53.991658302915326,mixed,1.4607232426760908,0,1501.2498604011794,8818.133146235832,36.74160700634639,1
planter,35.61383923645009,191.18971574842632,11.857094562381313,97.6880702273941,63.79729307073236,hilly,1.5230688458668533,0,1209.059899655583,4508.766626472498,22.84484403721541,0
planter,22.597727340795835,89.24971335946368,115.75059744447134,77.00623497964979,42.47649977209133,mixed,0.9242722776276352,5,258.9426718583432,854.4733580265299,9.095684714986314,1
harvester,31.40380245487317,386.79701676037246,94.98479467613585,71.03996728090173,47.776410342244944,flat,0.3727532183988541,2,1128.176110101053,7964.907982281599,127.52746454872346,0
tractor,34.298466147587504,367.6846767066367,129.0054008905719,77.97802696552813,35.72460698942468,rough,1.554911608578311,0,2224.774758344395,11509.109178484987,159.81108092116244,0
tractor,15.619321388703009,117.30596264930311,15.660702535380388,88.4265155874315,36.653449248709876,mixed,0.5394571349665223,0,1789.4912958451491,6726.396182304487,92.03415371848179,1
tractor,14.137755113064623,378.2843568120328,93.84116530839503,87.79139732158818,82.82807034091546,hilly,4.040601897822085,3,1571.9775727181677,6412.776833755303,145.5317877743672,1
harvester,20.865598535037606,135.81687810005104,33.05181944001184,81.36357677501768,59.08979828153899,flat,0.599326836668414,0,572.4435682473596,466.1653949047789,93.86352129206253,0
tractor,16.42619362704551,113.81290387866845,107.48259819757037,88.49082359697768,38.885215797204,mixed,0.18443473677266398,1,249.03464513205964,980.9879951657194,163.579593588031,1
other,29.880189008209758,245.22475507416954,21.319465686580134,74.78617824245617,44.52959629664555,hilly,1.838915663596266,2,520.5388913716412,3411.6710184716826,58.41963162994072,0
